,r =,,,,,,,,,,,,,
k,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.14753,0.00000,0,0,0,0,0,0,0,0,0,0,0,0
4,0.17095,0.05218,0,0,0,0,0,0,0,0,0,0,0,0
5,0.17116,0.06652,0.00263,0,0,0,0,0,0,0,0,0,0,0
6,0.16534,0.07156,0.01872,0,0,0,0,0,0,0,0,0,0,0
7,0.15801,0.07156,0.02834,0.00318,0,0,0,0,0,0,0,0,0,0
8,0.15063,0.07156,0.03051,0.01051,0,0,0,0,0,0,0,0,0,0
9,0.14357,0.07156,0.03358,0.01430,0,0,0,0,0,0,0,0,0,0
10,0.13704,0.07156,0.03614,0.01749,0.00380,0,0,0,0,0,0,0,0,0
11,0.13106,0.07156,0.03803,0.02047,0.00700,0,0,0,0,0,0,0,0,0
12,0.12554,0.07156,0.03919,0.01964,0.00919,0.00087,0,0,0,0,0,0,0,0
13,0.12053,0.07156,0.03974,0.01893,0.01059,0.00318,0,0,0,0,0,0,0,0
14,0.11589,0.07156,0.04006,0.01834,0.01256,0.00493,0,0,0,0,0,0,0,0
15,0.11164,0.07156,0.04038,0.01783,0.01404,0.00681,0.00058,0,0,0,0,0,0,0
16,0.10772,0.07156,0.04075,0.01766,0.01452,0.00810,0.00234,0,0,0,0,0,0,0
17,0.10409,0.07156,0.04112,0.01766,0.01480,0.00919,0.00356,0,0,0,0,0,0,0
18,0.10073,0.07156,0.04143,0.01766,0.01512,0.00945,0.00383,0.00011,0,0,0,0,0,0
19,0.09760,0.07156,0.04167,0.01766,0.01544,0.00987,0.00506,0.00141,0,0,0,0,0,0
20,0.09468,0.07156,0.04185,0.01766,0.01563,0.01005,0.00573,0.00183,0,0,0,0,0,0
21,0.09196,0.07156,0.04202,0.01766,0.01575,0.01019,0.00587,0.00279,0,0,0,0,0,0
22,0.08940,0.07156,0.04219,0.01766,0.01585,0.01055,0.00612,0.00351,0.00025,0,0,0,0,0
23,0.08700,0.07156,0.04237,0.01766,0.01604,0.01082,0.00651,0.00380,0.00087,0,0,0,0,0
24,0.08474,0.07156,0.04252,0.01766,0.01621,0.01103,0.00679,0.00400,0.00138,0,0,0,0,0
25,0.08261,0.07156,0.04265,0.01766,0.01635,0.01117,0.00700,0.00422,0.00195,0,0,0,0,0
26,0.08060,0.07156,0.04276,0.01763,0.01646,0.01128,0.00716,0.00457,0.00232,0.00029,0,0,0,0
27,0.07869,0.07156,0.04287,0.01760,0.01655,0.01139,0.00734,0.00478,0.00256,0.00070,0,0,0,0
28,0.07689,0.07156,0.04297,0.01763,0.01663,0.01156,0.00759,0.00501,0.00268,0.00101,0,0,0,0
29,0.07518,0.07156,0.04307,0.01766,0.01671,0.01171,0.00779,0.00515,0.00288,0.00125,0,0,0,0
30,0.07355,0.07156,0.04317,0.01766,0.01678,0.01178,0.00794,0.00534,0.00317,0.00153,0.00005,0,0,0
31,0.07200,0.07156,0.04325,0.01766,0.01684,0.01178,0.00804,0.00549,0.00335,0.00167,0.00030,0,0,0
32,0.07052,0.07156,0.04332,0.01766,0.01690,0.01178,0.00813,0.00561,0.00360,0.00203,0.00052,0,0,0
33,0.06911,0.07156,0.04340,0.01766,0.01695,0.01178,0.00819,0.00577,0.00378,0.00235,0.00075,0,0,0
34,0.06776,0.07156,0.04347,0.01766,0.01699,0.01178,0.00824,0.00591,0.00397,0.00249,0.00094,0,0,0
35,0.06647,0.07156,0.04354,0.01766,0.01704,0.01178,0.00828,0.00600,0.00409,0.00274,0.00114,0.00010,0,0
36,0.06523,0.07156,0.04360,0.01768,0.01708,0.01178,0.00832,0.00609,0.00415,0.00291,0.00153,0.00029,0,0
37,0.06404,0.07156,0.04365,0.01766,0.01713,0.01178,0.00836,0.00616,0.00421,0.00298,0.00174,0.00048,0,0
38,0.06291,0.07156,0.04371,0.01766,0.01718,0.01178,0.00839,0.00622,0.00424,0.00310,0.00178,0.00065,0,0
39,0.06182,0.07156,0.04376,0.01766,0.01722,0.01178,0.00842,0.00627,0.00435,0.00315,0.00205,0.00082,0,0
40,0.06076,0.07156,0.04381,0.01766,0.01727,0.01178,0.00846,0.00631,0.00444,0.00323,0.00219,0.00098,0.00006,0
41,0.05975,0.07156,0.04386,0.01766,0.01730,0.01178,0.00849,0.00636,0.00453,0.00331,0.00234,0.00109,0.00018,0
42,0.05878,0.07156,0.04390,0.01766,0.01734,0.01178,0.00851,0.00640,0.00458,0.00335,0.00236,0.00130,0.00032,0
43,0.05784,0.07156,0.04394,0.01766,0.01737,0.01178,0.00854,0.00644,0.00463,0.00335,0.00238,0.00147,0.00044,0
44,0.05694,0.07156,0.04399,0.01766,0.01740,0.01178,0.00856,0.00647,0.00468,0.00336,0.00244,0.00162,0.00056,0
45,0.05607,0.07156,0.04402,0.01766,0.01731,0.01178,0.00859,0.00650,0.00473,0.00342,0.00254,0.00173,0.00067,0.00001
46,0.05523,0.07156,0.04406,0.01766,0.01722,0.01178,0.00862,0.00653,0.00478,0.00349,0.00258,0.00184,0.00079,0.00012
47,0.05442,0.07156,0.04410,0.01766,0.01713,0.01178,0.00866,0.00656,0.00482,0.00354,0.00261,0.00188,0.00091,0.00023
48,0.05365,0.07156,0.04413,0.01766,0.01704,0.01178,0.00869,0.00659,0.00486,0.00360,0.00262,0.00198,0.00102,0.00033
49,0.05289,0.07156,0.04416,0.01766,0.01696,0.01178,0.00871,0.00661,0.00489,0.00364,0.00264,0.00198,0.00113,0.00042
50,0.05217,0.07156,0.04420,0.01766,0.01688,0.01178,0.00874,0.00661,0.00492,0.00369,0.00263,0.00197,0.00124,0.00051